"qmd","chamada","existe","caminho_testado_1","caminho_testado_2","caminho_testado_3"
"index.qmd","figures/tsiino_bg.png","True","C","",""
"acesso\index.qmd","../figures/conservacao/conservacaotitlebg.png","True","C:\repos\cabeca_cachorro\..\figures\conservacao\conservacaotitlebg.png","C:\repos\cabeca_cachorro\acesso\..\figures\conservacao\conservacaotitlebg.png",""
"acesso\index.qmd","../figures/conservacao/criptogama_campo.jpeg","True","C:\repos\cabeca_cachorro\..\figures\conservacao\criptogama_campo.jpeg","C:\repos\cabeca_cachorro\acesso\..\figures\conservacao\criptogama_campo.jpeg",""
"acesso\index.qmd","../figures/conservacao/ducke.jpg","True","C:\repos\cabeca_cachorro\..\figures\conservacao\ducke.jpg","C:\repos\cabeca_cachorro\acesso\..\figures\conservacao\ducke.jpg",""
"acesso\index.qmd","../figures/conservacao/expedicao_recente.jpg","True","C:\repos\cabeca_cachorro\..\figures\conservacao\expedicao_recente.jpg","C:\repos\cabeca_cachorro\acesso\..\figures\conservacao\expedicao_recente.jpg",""
"acesso\index.qmd","../figures/conservacao/fanerogama_campo.jpg","True","C:\repos\cabeca_cachorro\..\figures\conservacao\fanerogama_campo.jpg","C:\repos\cabeca_cachorro\acesso\..\figures\conservacao\fanerogama_campo.jpg",""
"acesso\index.qmd","../figures/conservacao/fungo_campo.jpg","True","C:\repos\cabeca_cachorro\..\figures\conservacao\fungo_campo.jpg","C:\repos\cabeca_cachorro\acesso\..\figures\conservacao\fungo_campo.jpg",""
"acesso\index.qmd","../figures/conservacao/herbario.png","True","C:\repos\cabeca_cachorro\..\figures\conservacao\herbario.png","C:\repos\cabeca_cachorro\acesso\..\figures\conservacao\herbario.png",""
"acesso\index.qmd","../figures/conservacao/herbarium_blitz.jpg","True","C:\repos\cabeca_cachorro\..\figures\conservacao\herbarium_blitz.jpg","C:\repos\cabeca_cachorro\acesso\..\figures\conservacao\herbarium_blitz.jpg",""
"acesso\index.qmd","../figures/conservacao/spruce.jpg","True","C:\repos\cabeca_cachorro\..\figures\conservacao\spruce.jpg","C:\repos\cabeca_cachorro\acesso\..\figures\conservacao\spruce.jpg",""
"acesso\index.qmd","../figures/conservacao/wallace.jpg","True","C:\repos\cabeca_cachorro\..\figures\conservacao\wallace.jpg","C:\repos\cabeca_cachorro\acesso\..\figures\conservacao\wallace.jpg",""
"acesso\index.qmd","../figures/conservacaotitlebg.png","True","C:\repos\cabeca_cachorro\..\figures\conservacaotitlebg.png","C:\repos\cabeca_cachorro\acesso\..\figures\conservacaotitlebg.png",""
